result_id,paper_location,claim_family,dataset,stream,regime,rule,comparator,metric,value,comparator_value,delta,ci_low,ci_high,unit,seed,provenance_status,evidence_record_id,notes
t11_top150_uprop,Table XI,proposal risk,COCO,Faster R-CNN-R50,M=150,Top score,,Uprop,0.056,,,,,bounded miss UCB,,reported_in_article,,
t11_top150_selector,Table XI,systems,COCO,Faster R-CNN-R50,M=150,Top score,,selector latency,0.03,,,,,ms,,reported_in_article,,
t11_top150_roi,Table XI,systems,COCO,Faster R-CNN-R50,M=150,Top score,,ROI/head latency,9.1,,,,,ms,,reported_in_article,,
t11_top150_total,Table XI,systems,COCO,Faster R-CNN-R50,M=150,Top score,,total latency,15.6,,,15.3,15.9,ms,,reported_in_article,,
t11_top150_memory,Table XI,systems,COCO,Faster R-CNN-R50,M=150,Top score,,peak memory,2.63,,,,,GiB,,reported_in_article,,
t11_local150_deltaap,Table XI,DIAL-Prop,COCO,Faster R-CNN-R50,M=150,Matched local,NMS-300,delta AP vs NMS-300,-0.07,,,-0.15,0.01,points,,reported_in_article,,
t11_local150_recall,Table XI,DIAL-Prop,COCO,Faster R-CNN-R50,M=150,Matched local,,proposal recall,95.8,,,,,percent,,reported_in_article,,
t11_local150_uprop,Table XI,proposal risk,COCO,Faster R-CNN-R50,M=150,Matched local,,Uprop,0.051,,,,,bounded miss UCB,,reported_in_article,,
t11_local150_selector,Table XI,systems,COCO,Faster R-CNN-R50,M=150,Matched local,,selector latency,0.46,,,,,ms,,reported_in_article,,
t11_local150_roi,Table XI,systems,COCO,Faster R-CNN-R50,M=150,Matched local,,ROI/head latency,9.1,,,,,ms,,reported_in_article,,
t11_local150_total,Table XI,systems,COCO,Faster R-CNN-R50,M=150,Matched local,,total latency,16.6,,,16.3,16.9,ms,,reported_in_article,,
t11_local150_memory,Table XI,systems,COCO,Faster R-CNN-R50,M=150,Matched local,,peak memory,2.7,,,,,GiB,,reported_in_article,,
t11_dial150_deltaap,Table XI,DIAL-Prop,COCO,Faster R-CNN-R50,M=150,DIAL-Prop,NMS-300,delta AP vs NMS-300,0.01,,,-0.05,0.07,points,,reported_in_article,,
t11_dial150_recall,Table XI,DIAL-Prop,COCO,Faster R-CNN-R50,M=150,DIAL-Prop,,proposal recall,96.3,,,,,percent,,reported_in_article,,
t11_dial150_uprop,Table XI,proposal risk,COCO,Faster R-CNN-R50,M=150,DIAL-Prop,,Uprop,0.044,,,,,bounded miss UCB,,reported_in_article,,
t11_dial150_selector,Table XI,systems,COCO,Faster R-CNN-R50,M=150,DIAL-Prop,,selector latency,0.72,,,,,ms,,reported_in_article,,
t11_dial150_roi,Table XI,systems,COCO,Faster R-CNN-R50,M=150,DIAL-Prop,,ROI/head latency,9.1,,,,,ms,,reported_in_article,,
t11_dial150_total,Table XI,systems,COCO,Faster R-CNN-R50,M=150,DIAL-Prop,,total latency,16.4,,,16.1,16.7,ms,,reported_in_article,,
t11_dial150_memory,Table XI,systems,COCO,Faster R-CNN-R50,M=150,DIAL-Prop,,peak memory,2.72,,,,,GiB,,reported_in_article,,
